,n_eval,hv_value
292,29300,0.3193301
293,29400,0.3193656
294,29500,0.3193657
295,29600,0.3193717
296,29700,0.3193717
297,29800,0.3193723
298,29900,0.3193728
299,30000,0.3193728
300,30100,0.3193728
301,30200,0.3193732
302,30300,0.3193752
303,30400,0.3193752
304,30500,0.319377
305,30600,0.31939
306,30700,0.3193954
307,30800,0.3193954
308,30900,0.3193988
309,31000,0.3193988
310,31100,0.3193988
311,31200,0.3193988
312,31300,0.3193989
313,31400,0.3193997
314,31500,0.3194001
315,31600,0.3194001
316,31700,0.3194051
317,31800,0.3194051
318,31900,0.3194187
319,32000,0.3194215
320,32100,0.3194264
321,32200,0.3194264
322,32300,0.3194299
323,32400,0.3194313
324,32500,0.3194314
325,32600,0.3194315
326,32700,0.3194326
327,32800,0.3194326
328,32900,0.3194327
329,33000,0.3194327
330,33100,0.3194328
331,33200,0.3194331
332,33300,0.3194331
333,33400,0.3194332
334,33500,0.3194333
335,33600,0.3194333
336,33700,0.3194346
337,33800,0.3194408
338,33900,0.3194422
339,34000,0.3194424
340,34100,0.3194424
341,34200,0.3194424
342,34300,0.3194434
343,34400,0.3194449
344,34500,0.3194478
345,34600,0.319448
346,34700,0.3194482
347,34800,0.3194507
348,34900,0.3194509
349,35000,0.3194527
350,35100,0.3194563
351,35200,0.3194563
352,35300,0.3194563
353,35400,0.3194563
354,35500,0.3194563
355,35600,0.3194563
356,35700,0.3194584
357,35800,0.3194585
358,35900,0.3194601
359,36000,0.3194603
360,36100,0.3194607
361,36200,0.3194608
362,36300,0.3194608
363,36400,0.3194614
364,36500,0.3194614
365,36600,0.3194614
366,36700,0.3194617
367,36800,0.3194617
368,36900,0.3194641
369,37000,0.3194642
370,37100,0.3194655
371,37200,0.3194662
372,37300,0.319467
373,37400,0.3194671
374,37500,0.3194671
375,37600,0.3194671
376,37700,0.3194671
377,37800,0.3194671
378,37900,0.3194673
379,38000,0.3194673
380,38100,0.3194676
381,38200,0.3194676
382,38300,0.3194676
383,38400,0.3194676
384,38500,0.3194676
