Vbatt,Qbatt,Ndiff,Rwheel,MaxPmot,Mass,Hcons,Pmech
0.9666415996735565,0.31621733751132713,0.37670548721739294,1.0,1.0,0.0,0.21314549140812725,-0.4261901537801001
0.9973648247318699,0.3091527133315013,0.3891224503631203,1.0,1.0,0.0,0.21326701955431313,-0.4261901537801001
1.0,0.308161628542722,0.3970104834907627,1.0,1.0,0.0,0.21328305257403563,-0.43772954873112485
0.9646980209068571,0.31533432522509175,0.549255208076724,1.0,1.0,0.0,0.21646309677601935,-0.4828851597081883
1.0,0.31810218541116625,0.5938226835709699,1.0,0.0,0.0,0.21703764952920215,-0.49142595760076374
1.0,0.3180981617814666,0.5941373362859594,1.0,0.0,0.0,0.2170376536134208,-0.49142595760076374
1.0,0.31810906239494974,0.5935494404825308,1.0,0.0,0.0,0.21703765678140433,-0.49142595760076374
1.0,0.3181535303118863,0.5935611959105727,1.0,0.0,0.0,0.21703767194952153,-0.49142595760076374
1.0,0.31810675258170573,0.5927240699210312,1.0,0.0,0.0,0.2170377620419074,-0.49142595760076374
1.0,0.3180615530704785,0.5942566087645682,1.0,3.232668975434092e-06,0.0,0.2170377850117001,-0.49142595760076374
0.9999945070437909,0.3180339506235435,0.5934334692918571,1.0,0.0,0.0,0.21703786777802575,-0.49142595760076374
0.9999771827032761,0.31813786515190845,0.5941668763111456,1.0,0.0,0.0,0.21703792927361576,-0.49142595760076374
0.9999999654975855,0.3181686178961496,0.595553563711441,1.0,0.0,0.0,0.21703794712381722,-0.49142595760076374
0.9999964522706047,0.3182376713976714,0.5941422259908091,1.0,0.0,0.0,0.21703795384946156,-0.49142595760076374
1.0,0.31797713243013964,0.5934781118310506,1.0,0.0,0.0,0.21703802488907903,-0.49142595760076374
1.0,0.31799117077399264,0.5937548279809963,0.999992143376905,0.0,0.0,0.21703803663216734,-0.49142595760076374
0.999999986974948,0.31827301483525017,0.5936114339587456,1.0,0.0,0.0,0.21703805384207317,-0.49142595760076374
0.9999833240971431,0.3182367780113158,0.5933286418117221,1.0,0.0,0.0,0.2170380730675572,-0.49142595760076374
0.999999996342244,0.31821287494537587,0.591387928640228,1.0,0.0,0.0,0.2170382032875719,-0.49142595760076374
1.0,0.3180912365541432,0.5911683833358637,1.0,0.0,0.0,0.21703828520187224,-0.49142595760076374
0.9999995702529562,0.31835083739295017,0.591611880997785,1.0,0.0,0.0,0.21703877749049824,-0.49142595760076374
0.9999999999774517,0.31854047850367556,0.5920896444969063,1.0,0.0,0.0,0.2170406502162054,-0.49142595760076374
1.0,0.31910353458251445,0.5892666258593127,1.0,0.0,0.0,0.21705377460608843,-0.49142595760076374
0.9997075559683165,0.3199360787698002,0.595149101651173,0.999998974550015,0.0003424513810768884,0.0,0.2171011070902108,-0.49142595760076374
1.0,0.31533108499995355,0.6154025157216737,1.0,0.0,0.0,0.2171972453602823,-0.4968782819719369
1.0,0.31865742504835093,0.7743704111561939,1.0,0.0,0.0,0.21920670916218915,-0.5597397874755998
1.0,0.32102578280090843,0.7746105286062285,1.0,0.0,0.0,0.21924331793635188,-0.5597397874755998
1.0,0.31966414157360423,0.7824137124657105,1.0,0.0,0.0,0.2193793147677307,-0.5597397874755998
1.0,0.32307686462735646,0.7759340747331985,0.9999908771098661,0.0,0.0,0.219426750651401,-0.5597397874755998
1.0,0.32357405919899584,0.7755330130473442,1.0,0.0,0.0,0.21947197264255972,-0.5597397874755998
0.9876785257645474,0.3236113025021246,0.7752335151799301,1.0,0.0,0.0,0.2195894326865185,-0.5597397874755998
0.999860392747631,0.32351119540052803,0.7738529525766568,0.9999595112754313,0.005919360915551673,0.0,0.21960835443540705,-0.5597397874755998
0.9999999967547413,0.31543593403033304,0.7764253570541487,0.9966090641933897,0.0,0.0,0.21961575736808311,-0.5597397874755998
1.0,0.31471468074943015,0.7753438178472889,1.0,0.0,0.0,0.21964705548862984,-0.5597397874755998
0.9980540497944561,0.32510999459214673,0.773015124940519,0.9990123291136835,0.007577056041718211,0.0,0.2198434935087904,-0.5597397874755998
0.9999594865387423,0.31955377049450445,0.8030291166148391,0.9999875000413726,0.0,0.0,0.21988309066538797,-0.5733987283981532
1.0,0.32036809079675865,0.8041682976883153,1.0,0.0,0.0,0.21990336639924424,-0.5733987283981532
