,lambda0_sms,lambda0_moead,lambda0_nsga3,lambda0_imia,lambda0_pimia,lambda1_sms,lambda1_moead,lambda1_nsga3,lambda1_imia,lambda1_pimia,lambda2_sms,lambda2_moead,lambda2_nsga3,lambda2_imia,lambda2_pimia,lambda3_sms,lambda3_moead,lambda3_nsga3,lambda3_imia,lambda3_pimia,lambda4_sms,lambda4_moead,lambda4_nsga3,lambda4_imia,lambda4_pimia,lambda5_sms,lambda5_moead,lambda5_nsga3,lambda5_imia,lambda5_pimia,lambda6_sms,lambda6_moead,lambda6_nsga3,lambda6_imia,lambda6_pimia,lambda7_sms,lambda7_moead,lambda7_nsga3,lambda7_imia,lambda7_pimia,lambda8_sms,lambda8_moead,lambda8_nsga3,lambda8_imia,lambda8_pimia,lambda9_sms,lambda9_moead,lambda9_nsga3,lambda9_imia,lambda9_pimia
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,0.44996957623131106,0.49063129386946286,0.3490277089034691,0.44579118389583955,0.6067789560056853,0.3603656436551505,0.43221852690519086,0.3443572824276419,0.4363898801589011,0.5855895323120578,0.4975753297006793,0.43281792633652905,0.34528885558883393,0.516659605224657,0.5474770965902277,0.5440499854738448,0.4293396614827492,0.34781901249899505,0.4624551392000711,0.5960759658068421,0.59822401000704,0.4882638813306857,0.3534544450999751,0.49730601963522564,0.5497259804684442,0.5845791050979721,0.5115935273850657,0.3584246380473069,0.5338335717845912,0.5691404505648348,0.6087858757579243,0.4204250055832007,0.3609539428259371,0.5040824849302218,0.5348357018961484,0.6151138887855139,0.46993757053696067,0.3802398336805706,0.5419749496543622,0.5851741181885797,0.6175814634705531,0.4909058134307619,0.37590744758053435,0.5480477145057713,0.5451545933086092,0.595364249905337,0.5090122859781745,0.36175857663102634,0.5291249921367582,0.5746669444822567
std,0.28025070389065676,0.12251752352747415,0.012138799838257936,0.2495183492688638,0.3274279565969061,0.17488832720344816,0.10010898805470447,0.011926860989098032,0.23448098737003337,0.32661890073934535,0.14022757910721215,0.08855008318577758,0.014918839369980052,0.1582296890741814,0.14515954910323706,0.12701776905362466,0.08351622053392906,0.013515975296791499,0.16361491405260056,0.09290824929145355,0.08279301425501318,0.0948575245750562,0.0076560165530440835,0.13235963254962493,0.14486530890453345,0.11112240469834159,0.1361111134930517,0.012207548767959335,0.17819002801290798,0.13303188117000725,0.09309511321892869,0.07192660481798155,0.00890433752328813,0.148645181483838,0.13586963982641878,0.09540361828290296,0.11612287563931989,0.058582823664606085,0.14101375266992003,0.11823565113997965,0.09547465169666768,0.1281689636760901,0.11000680369871436,0.14150079972450152,0.13141922071302847,0.13265194331986,0.155314740616815,0.019804105799091417,0.16088718216472514,0.11575391395400016
min,0.2983590573548633,0.3485389314683426,0.32325246942452324,0.29936746701649003,0.2993673294605001,0.30372883698358144,0.316342998039354,0.3196480995116132,0.30384278024458394,0.3038481562473989,0.3093247609587959,0.3254496797425704,0.30117667252530544,0.32402766820616624,0.2811292233310494,0.30918664496091525,0.25689830202107944,0.3232762569182567,0.3201483453973318,0.3573318034613418,0.34141809109877114,0.32453655370772394,0.3359634301910293,0.3031518537489378,0.29936722865020443,0.3161715344725878,0.368027948384964,0.33437859802143993,0.2030452977845879,0.3577050675942866,0.31675976539920647,0.3409188733727168,0.3390832280291307,0.32463595331832495,0.3306859201278276,0.3238392378854617,0.37160758046345393,0.337165538625489,0.33095339428149884,0.2993670680819417,0.3339780218859078,0.3667926198398776,0.31808130033329673,0.33491310791526213,0.29936722865020443,0.3201250945075202,0.14948416031337797,0.33364647836859496,0.10034407113170747,0.3509993284566089
25%,0.2993724754587529,0.4041529378327495,0.3460573118024752,0.31997780048463165,0.34355624014190156,0.30381805036810305,0.37560609147011226,0.33485367258962895,0.3038525096631322,0.3176915283788015,0.33096105324326147,0.37002449131951,0.3382031842022748,0.3580621839076273,0.3584691753844736,0.4228511429376099,0.37343453291293405,0.33728819801033694,0.35504976544225103,0.6128430422012904,0.6264502929772247,0.40913471752081265,0.3487092769360021,0.36956891516577184,0.3689932618363394,0.6332315406836967,0.40460758687247983,0.35274639266056323,0.3682304209159495,0.3966738760488649,0.6399733350860752,0.37512148196864037,0.3593234751078805,0.3641797589056523,0.36370225787868526,0.646786186396156,0.3935155637051173,0.35968086880342137,0.3707490252808501,0.6145473934842517,0.6526572203709102,0.40458608251303996,0.3523368635157461,0.37553955732424726,0.3775153070604693,0.660249550767897,0.42094991464171666,0.3482026649558122,0.38044928974436715,0.6128430402327875
50%,0.30637451044531583,0.472665010267056,0.35074236843305595,0.3484314243586898,0.3693844396877541,0.3038500057074096,0.3948855251550609,0.3478633352424003,0.3547652716055453,0.35788724118477355,0.6093797041880717,0.4299580526017659,0.348433050267174,0.6128422390634511,0.6264573912348663,0.6196533493261785,0.40704771666784034,0.3551260085511785,0.3629160243539711,0.629855945365351,0.6264573895168124,0.49599554376475874,0.35424077027380607,0.5130961598641013,0.6264114750522525,0.633254477154797,0.46071997859792024,0.3595153642160943,0.6332539576569625,0.6332544981756165,0.6400482840745263,0.3858954252527473,0.3630125905525706,0.5187507286884474,0.6170574142329024,0.6468454119648288,0.4276399856070259,0.3650617964789775,0.6468453437832392,0.6330475460235285,0.6536542140521651,0.43245038021870064,0.3590834648786554,0.6536541456878185,0.6128430450944151,0.6604839372789326,0.46715944093897444,0.3598697379563054,0.6604834746440738,0.6264573930955875
75%,0.35249236691729013,0.5502795209006712,0.3545905749950329,0.35795486218360156,1.0,0.3280002162545515,0.42854015204495777,0.35500409851643383,0.3653675792260963,1.0,0.6128427382272725,0.45339609376369316,0.35665643421021553,0.61284300993441,0.6400483056885723,0.6196533773242516,0.46245442235735834,0.35884929270500543,0.6196531856699335,0.6451461363559974,0.6264573917060892,0.5504341680644599,0.35991632616721125,0.6264573395224358,0.6400483084181982,0.6332544989613211,0.5930913584555653,0.36303982000060125,0.6332545213880388,0.6536542212065031,0.6400483454072551,0.447986083726746,0.36548125428583406,0.6400483188086451,0.6401025135255277,0.6468454145297474,0.49342594620731595,0.3709233548405694,0.6468454910896337,0.6468454143417506,0.6536542563858595,0.5594931241928092,0.3622162512764054,0.6536542303261021,0.6332544982009611,0.6604839553074134,0.5655487031991652,0.37003842446144164,0.6604839571035266,0.6468454132518591
max,1.0,0.8146063146005276,0.3897668968441323,1.0,1.0,1.0,0.7155794708898545,0.35853717955599135,1.0,1.0,0.613295215956912,0.7473203146191284,0.36164361787643196,1.0,0.7392805906410471,0.6207568745700527,0.6579497781580879,0.36232625520607825,1.0,0.6604839586035153,0.6273619651456667,0.6904976197972188,0.36290503014457826,0.6264627745896063,0.7600709400282395,0.6351508305086592,0.7969520583602331,0.4084157525956822,0.9763072331439042,0.8330332178956625,0.6404785985675822,0.6064363497618255,0.379786834643171,0.7592828862452622,0.6604839505979914,0.6468779778457684,0.9103869468194591,0.6219199650246885,0.6468464177425318,0.6697308021797012,0.6592524483784505,0.8645741311269569,0.9551530606212078,0.6536558486967335,0.6536542223306556,0.6608367085218076,1.0,0.4334122795806384,0.6604955744055283,0.6752290886673307
