lambda0_sms,lambda0_moead,lambda0_nsga3,lambda0_imia,lambda1_sms,lambda1_moead,lambda1_nsga3,lambda1_imia,lambda2_sms,lambda2_moead,lambda2_nsga3,lambda2_imia,lambda3_sms,lambda3_moead,lambda3_nsga3,lambda3_imia,lambda4_sms,lambda4_moead,lambda4_nsga3,lambda4_imia,lambda5_sms,lambda5_moead,lambda5_nsga3,lambda5_imia,lambda6_sms,lambda6_moead,lambda6_nsga3,lambda6_imia,lambda7_sms,lambda7_moead,lambda7_nsga3,lambda7_imia,lambda8_sms,lambda8_moead,lambda8_nsga3,lambda8_imia,lambda9_sms,lambda9_moead,lambda9_nsga3,lambda9_imia
0.3195317,0.0326139,0.2909227,0.319882,0.3408986,0.0410538,0.325324,0.320857,0.4896399,0.0311019,0.4030071,0.4897091,0.497132,0.0428385,0.0623819,0.4942647,0.5165212,0.0439109,0.3289231,0.5143751,0.5278321,0.0517376,0.2970827,0.5268764,0.547103,0.0313855,0.3837596,0.5447602,0.5606213,0.0704658,0.3489731,0.5599585,0.572537,0.0519753,0.3407811,0.5718044,0.5925218,0.037508,0.4735313,0.5948985
0.3409926,0.044292,0.2877811,0.3175973,0.3231878,0.0501635,0.1756527,0.3389276,0.4858875,0.0449224,0.3174895,0.4872568,0.4951525,0.0470463,0.3467559,0.4954647,0.5162166,0.0525283,0.4189551,0.5122467,0.5277923,0.0388481,0.2050847,0.5250762,0.5461694,0.0474109,0.4717339,0.5439554,0.5626798,0.0490946,0.3879879,0.5599852,0.5746131,0.0331922,0.2912515,0.5683287,0.5944116,0.055036,0.3678895,0.5969614
0.3195898,0.0294882,0.2518142,0.3196186,0.3231155,0.0263599,0.3045591,0.3228086,0.489858,0.0482947,0.3684967,0.4867603,0.4984671,0.0231571,0.3224199,0.4948785,0.5161824,0.0549696,0.3053913,0.5123221,0.5295138,0.0290435,0.2782795,0.5286052,0.5421999,0.0493152,0.4184,0.5419072,0.5649035,0.0439488,0.3811574,0.5646146,0.5686881,0.0619913,0.3765138,0.5734859,0.5974088,0.0754817,0.1163576,0.5915464
0.3195846,0.0445243,0.2882673,0.3385367,0.321,0.0228031,0.2942319,0.3385599,0.4874507,0.0377896,0.428159,0.487296,0.4985184,0.0249865,0.3295553,0.4950138,0.5124946,0.0428478,0.424039,0.512282,0.5277952,0.0776919,0.3552725,0.5277762,0.5470308,0.0438094,0.3977121,0.5413542,0.5651361,0.0291509,0.2765167,0.5652897,0.5738135,0.0719794,0.3843425,0.5732104,0.5987033,0.0532002,0.3776168,0.5911001
0.3197413,0.0690867,0.2835283,0.3173232,0.3233585,0.0706376,0.1247129,0.3232482,0.4874371,0.0373314,0.3272382,0.4867693,0.4951201,0.0470707,0.3336715,0.497296,0.5133737,0.0378861,0.3886206,0.5122933,0.5297544,0.0482238,0.3854492,0.5250026,0.5463682,0.0423751,0.3557145,0.5414312,0.5648167,0.042204,0.3903687,0.5598292,0.5745385,0.1191076,0.4672584,0.5731395,0.59739,0.0608322,0.346775,0.5958731
0.3407749,0.0333165,0.2939405,0.3412548,0.3229726,0.0550574,0.2946863,0.3206035,0.4874081,0.0494065,0.271485,0.4867374,0.496665,0.0329363,0.1491478,0.4971695,0.5124613,0.0738841,0.3267795,0.511737,0.5286663,0.0328494,0.0850479,0.5250142,0.5461858,0.0316297,0.4222505,0.5466982,0.5656336,0.0484684,0.3627956,0.5603766,0.5747241,0.038299,0.3590344,0.5725658,0.5917323,0.0406604,0.1760951,0.5959649
0.3408082,0.3087251,0.2908828,0.319151,0.3227619,0.0303014,0.274266,0.3229274,0.4906841,0.0208814,0.2401909,0.4894544,0.4979685,0.0236151,0.3525565,0.4949561,0.5163289,0.0505565,0.3131786,0.5136491,0.5284819,0.0560092,0.3347873,0.5261105,0.5423598,0.0290989,0.3205116,0.5443966,0.5640909,0.0595438,0.4297117,0.5649174,0.573982,0.0519708,0.3853431,0.574424,0.5960789,0.1435945,0.3989047,0.5915681
0.3196463,0.0487962,0.3059306,0.3200735,0.3231145,0.020782,0.3106021,0.3232102,0.4894327,0.0260514,0.4156588,0.4884796,0.4951016,0.0297119,0.1117414,0.4950198,0.512485,0.036829,0.2989934,0.5140296,0.52775,0.0262447,0.3396948,0.5241953,0.5422019,0.0264003,0.342431,0.5414004,0.563473,0.0274443,0.3193943,0.5652013,0.5745836,0.0353589,0.3844663,0.5735303,0.5960629,0.0606948,0.3280294,0.5969372
0.3195525,0.0344699,0.269906,0.3404124,0.3228819,0.050425,0.2804024,0.3405396,0.4893459,0.0465699,0.3724488,0.4890775,0.4977496,0.0381537,0.2859568,0.4948891,0.514304,0.0794483,0.1710605,0.5121999,0.5295501,0.0446524,0.441818,0.5279788,0.5458088,0.0660385,0.4260269,0.546409,0.5643483,0.0598562,0.3926611,0.5638037,0.5743012,0.0524955,0.3910133,0.5713571,0.5983867,0.0640023,0.3833349,0.5959236
0.3407964,0.0506318,0.2278273,0.3386018,0.3229502,0.0667199,0.2257,0.323526,0.4874169,0.0396832,0.2831698,0.48672,0.4951321,0.0244316,0.306118,0.4969539,0.5128646,0.0483634,0.4540082,0.5122838,0.5295893,0.0478531,0.2197057,0.5285614,0.54597,0.0613629,0.3866984,0.5451934,0.5659035,0.04152,0.39526,0.5645977,0.574519,0.040563,0.3653785,0.5721003,0.5955118,0.0568292,0.0693392,0.596843
