Hcons_ann,Hcons_svr,Hcons_dtr,Hcons_rfr
0.002259230484508783,0.004044912249195119,0.0035783471184946116,0.0017136873589785075
0.0016675419593469723,0.004041594442628622,0.0034808622428544617,0.00174656753382052
0.0015777255278541192,0.003690700589158032,0.0023582553754934532,0.0012630223027245099
0.00148057051855335,0.003949017850000943,0.002951514172745476,0.0015430457484940997
0.0019310593642138287,0.004214254197971836,0.004159734984715666,0.002173471996156563
0.002297967416798401,0.004059363641490708,0.0033529014768384404,0.00167244648552098
0.002397948046986023,0.0041606440250877815,0.0043213625425870174,0.0017668793977859809
0.00143625045231214,0.0038289803384200165,0.00328336629355459,0.0013416780711581297
0.0017093017400493242,0.004102180032406713,0.002823694507021056,0.0016155996503867543
0.0026133581436297414,0.004611152574506663,0.0033418956846267282,0.0019123785629535084
