Pmech_ann,Pmech_svr,Pmech_dtr,Pmech_rfr
0.0002454798355605613,0.0005970994532416659,7.58663251023607e-05,2.0825087856626703e-05
0.00027438773851375776,0.0006198033409395487,9.602447486421625e-05,2.755646791065715e-05
0.0002704216475006121,0.0006186802444791521,7.17250478582054e-05,2.6652727062454985e-05
0.00027213474167980714,0.0006233977522713094,7.373214734908586e-05,2.2752801072056967e-05
0.00025088262312520753,0.00071573951531672,0.00012021802148945555,6.71096523475844e-05
0.00018811767591495087,0.0006741944872482111,7.509976430890509e-05,2.3630071983210448e-05
0.00028339742301027076,0.0006257660707926718,6.899798167216558e-05,2.6065481669021158e-05
0.00017306361187245363,0.0006153146590498353,8.26767422946283e-05,2.3368020272158396e-05
0.0001857214714552084,0.0006198595716529911,7.702779411881124e-05,2.319846343638069e-05
0.00040803525876904813,0.0007332004938454897,0.0002419674817310001,0.00015928996911038565
